month,NA,SA,SO,PO,IO
2000-01-01,285.214111328125,289.8445129394531,272.7306213378906,292.5793151855469,291.1807861328125
2000-02-01,284.892333984375,290.6607971191406,273.0367736816406,293.2585754394531,291.4715881347656
2000-03-01,284.93695068359375,290.5218811035156,272.77691650390625,293.2123718261719,291.36566162109375
2000-04-01,285.1851806640625,289.947021484375,272.3526916503906,292.6017761230469,291.03924560546875
2000-05-01,286.0325012207031,288.8702697753906,271.9864501953125,291.7139587402344,290.141845703125
2000-06-01,287.11663818359375,287.68408203125,271.78851318359375,290.8523864746094,289.3853759765625
2000-07-01,288.56451416015625,286.7668762207031,271.71923828125,290.1635437011719,288.6588439941406
2000-08-01,289.3676452636719,286.26580810546875,271.6825256347656,289.7370300292969,288.3423767089844
2000-09-01,289.104736328125,286.1098937988281,271.7117004394531,289.75482177734375,288.3575439453125
2000-10-01,288.0872802734375,286.52044677734375,271.7778625488281,290.0684509277344,288.6885681152344
2000-11-01,287.0403747558594,287.2918395996094,271.9574890136719,290.8621826171875,289.31207275390625
2000-12-01,285.97760009765625,288.4170837402344,272.3698425292969,291.9062194824219,290.1863098144531
2001-01-01,285.2494201660156,289.7076110839844,272.9345397949219,292.8988342285156,290.937255859375
2001-02-01,284.8949279785156,290.35540771484375,273.1959533691406,293.4586486816406,291.4013671875
2001-03-01,284.89422607421875,290.3713073730469,273.0227355957031,293.4649658203125,291.52978515625
2001-04-01,285.1822509765625,289.7593078613281,272.5506896972656,292.94525146484375,291.0865478515625
2001-05-01,285.9604187011719,288.71673583984375,272.1557922363281,292.008544921875,290.4403991699219
2001-06-01,287.3187255859375,287.6164855957031,271.89544677734375,291.1661376953125,289.5292663574219
2001-07-01,288.7046203613281,286.7078552246094,271.7787780761719,290.3962097167969,288.7580261230469
2001-08-01,289.5194091796875,286.23760986328125,271.72833251953125,289.8858642578125,288.4895324707031
2001-09-01,289.35443115234375,286.14984130859375,271.7389221191406,289.8937072753906,288.5316162109375
2001-10-01,288.3811950683594,286.5397033691406,271.8160095214844,290.2276916503906,288.8253479003906
2001-11-01,287.15057373046875,287.6339416503906,271.9735412597656,291.0139465332031,289.4450988769531
2001-12-01,286.13018798828125,288.7718811035156,272.3283996582031,291.90216064453125,290.4753723144531
2002-01-01,285.4698181152344,289.7667541503906,272.7892761230469,293.0596618652344,291.1894226074219
2002-02-01,285.041748046875,290.38714599609375,273.08966064453125,293.57196044921875,291.5133361816406
2002-03-01,284.9591369628906,290.4713134765625,272.9615173339844,293.5140686035156,291.58428955078125
2002-04-01,285.24169921875,289.7781066894531,272.53582763671875,292.9154052734375,291.20263671875
2002-05-01,285.9685974121094,288.7873229980469,272.10223388671875,292.0306701660156,290.2987976074219
2002-06-01,287.2322998046875,287.66552734375,271.90435791015625,291.1785888671875,289.41180419921875
2002-07-01,288.5663757324219,286.74383544921875,271.7703552246094,290.45404052734375,288.71417236328125
2002-08-01,289.4952392578125,286.2835388183594,271.74932861328125,289.99493408203125,288.3710021972656
2002-09-01,289.1728820800781,286.1321105957031,271.767822265625,289.958740234375,288.3771057128906
2002-10-01,288.2064208984375,286.5895080566406,271.8388366699219,290.2947998046875,288.6808776855469
2002-11-01,287.0372314453125,287.23321533203125,272.0466003417969,291.0645751953125,289.3215637207031
2002-12-01,286.0827331542969,288.37396240234375,272.415771484375,292.0068664550781,290.3225402832031
2003-01-01,285.3932800292969,289.5674743652344,272.89849853515625,292.94873046875,291.1127014160156
2003-02-01,284.98193359375,290.43408203125,273.2796630859375,293.45867919921875,291.6295166015625
2003-03-01,284.99273681640625,290.4996032714844,273.07281494140625,293.4197082519531,291.5871276855469
2003-04-01,285.3017578125,289.6798095703125,272.58056640625,292.8465881347656,291.19317626953125
2003-05-01,286.1020812988281,288.6904296875,272.1598815917969,291.9844970703125,290.373779296875
2003-06-01,287.3981018066406,287.6069641113281,271.8914794921875,291.1577453613281,289.5018615722656
2003-07-01,288.92486572265625,286.8665466308594,271.7611083984375,290.3731384277344,288.6967468261719
2003-08-01,289.8405456542969,286.38134765625,271.7357482910156,289.95550537109375,288.2432861328125
2003-09-01,289.5085144042969,286.32464599609375,271.76934814453125,289.92303466796875,288.1927795410156
2003-10-01,288.4718322753906,286.8244934082031,271.8155517578125,290.19329833984375,288.6226501464844
2003-11-01,287.2357177734375,287.493408203125,271.9917297363281,290.8680114746094,289.37786865234375
2003-12-01,286.279541015625,288.5443115234375,272.40545654296875,291.9347839355469,290.2613220214844
2004-01-01,285.5386657714844,289.4836120605469,272.89111328125,292.94281005859375,291.122314453125
2004-02-01,285.1331787109375,290.2147521972656,273.24658203125,293.5901794433594,291.5310974121094
2004-03-01,285.08734130859375,290.2205505371094,273.05889892578125,293.4281311035156,291.45611572265625
2004-04-01,285.423583984375,289.63873291015625,272.5644226074219,292.7800598144531,291.1007995605469
2004-05-01,286.08197021484375,288.64501953125,272.1330871582031,291.9833068847656,290.2721862792969
2004-06-01,287.3563537597656,287.5567321777344,271.85980224609375,291.05780029296875,289.28985595703125
2004-07-01,288.78631591796875,286.81317138671875,271.7606506347656,290.3633117675781,288.5292663574219
2004-08-01,289.6973876953125,286.38970947265625,271.7363586425781,289.9161071777344,288.24688720703125
2004-09-01,289.30340576171875,286.3132019042969,271.74273681640625,289.84771728515625,288.258544921875
2004-10-01,288.353759765625,286.6679382324219,271.7891845703125,290.136474609375,288.6767883300781
2004-11-01,287.2283020019531,287.5115051269531,271.9760437011719,290.9482727050781,289.3343811035156
2004-12-01,286.2686462402344,288.552490234375,272.396728515625,291.93853759765625,290.361328125
2005-01-01,285.5115966796875,289.82354736328125,273.0133972167969,292.8759765625,291.0813903808594
2005-02-01,285.1095275878906,290.44329833984375,273.3534851074219,293.4198303222656,291.5475158691406
2005-03-01,285.14422607421875,290.5185852050781,273.0484924316406,293.3520812988281,291.594482421875
2005-04-01,285.55975341796875,289.8922424316406,272.50286865234375,292.8201904296875,291.0050964355469
2005-05-01,286.26910400390625,288.7611083984375,272.08380126953125,291.97930908203125,290.2213134765625
2005-06-01,287.5038146972656,287.707275390625,271.8807067871094,291.1610107421875,289.3049011230469
2005-07-01,288.9867248535156,286.82952880859375,271.7735900878906,290.39508056640625,288.67401123046875
2005-08-01,289.6825256347656,286.33062744140625,271.73040771484375,289.96624755859375,288.3062744140625
2005-09-01,289.3529968261719,286.2969970703125,271.7409973144531,289.88299560546875,288.24090576171875
2005-10-01,288.2966003417969,286.6819152832031,271.795654296875,290.2187194824219,288.59368896484375
2005-11-01,287.2042236328125,287.4170227050781,271.9981689453125,290.95245361328125,289.1690368652344
2005-12-01,286.2601013183594,288.4832458496094,272.4062805175781,292.06585693359375,290.09368896484375
2006-01-01,285.5184326171875,289.6447448730469,273.0674133300781,293.0114440917969,290.89129638671875
2006-02-01,285.0792236328125,290.39959716796875,273.46356201171875,293.56463623046875,291.3788146972656
2006-03-01,284.99713134765625,290.5718994140625,273.1551208496094,293.41387939453125,291.3241882324219
2006-04-01,285.4612731933594,289.99261474609375,272.5371398925781,292.9403076171875,290.8745422363281
2006-05-01,286.3006286621094,289.041015625,272.125732421875,292.073974609375,290.1973876953125
2006-06-01,287.46978759765625,287.891845703125,271.84417724609375,291.1183166503906,289.3871154785156
2006-07-01,288.94549560546875,286.957275390625,271.75701904296875,290.3731994628906,288.6947937011719
2006-08-01,289.7315673828125,286.5101623535156,271.7248840332031,289.9566650390625,288.2928161621094
2006-09-01,289.443359375,286.4118957519531,271.73358154296875,289.9255676269531,288.1960144042969
2006-10-01,288.510009765625,286.658447265625,271.7906494140625,290.1842956542969,288.5811767578125
2006-11-01,287.3959655761719,287.4107971191406,271.9581604003906,290.8313293457031,289.4625244140625
2006-12-01,286.27423095703125,288.6753845214844,272.3265075683594,291.8323974609375,290.435791015625
2007-01-01,285.5712890625,289.7438659667969,272.8630065917969,292.80810546875,291.1842956542969
2007-02-01,285.21331787109375,290.37432861328125,273.2352600097656,293.38629150390625,291.6772155761719
2007-03-01,285.1348571777344,290.3847351074219,273.0595397949219,293.29815673828125,291.4819641113281
2007-04-01,285.43450927734375,289.8783874511719,272.50848388671875,292.71197509765625,291.0286560058594
2007-05-01,286.1797790527344,288.82696533203125,272.13751220703125,291.9273681640625,290.2751159667969
2007-06-01,287.375244140625,287.73309326171875,271.8696594238281,291.06640625,289.4687805175781
2007-07-01,288.7355651855469,286.79644775390625,271.75628662109375,290.3493347167969,288.73809814453125
2007-08-01,289.41522216796875,286.22015380859375,271.7165222167969,289.87774658203125,288.32879638671875
2007-09-01,289.1957092285156,286.1495666503906,271.7147521972656,289.7507629394531,288.367431640625
2007-10-01,288.2911376953125,286.6086120605469,271.77392578125,290.02166748046875,288.67144775390625
2007-11-01,287.25604248046875,287.33062744140625,271.95306396484375,290.6075744628906,289.3510437011719
2007-12-01,286.2073974609375,288.428955078125,272.2852783203125,291.5449523925781,290.2300720214844
2008-01-01,285.4583435058594,289.6539306640625,272.82379150390625,292.5439758300781,291.0719299316406
2008-02-01,285.0919494628906,290.33160400390625,273.1118469238281,293.23834228515625,291.42962646484375
2008-03-01,285.09332275390625,290.4276428222656,272.8749084472656,293.199951171875,291.3523254394531
2008-04-01,285.2728576660156,289.865234375,272.4307556152344,292.64630126953125,290.9484558105469
2008-05-01,286.22320556640625,288.9425354003906,272.10601806640625,291.8418273925781,290.2652587890625
2008-06-01,287.6266784667969,287.7586975097656,271.8684387207031,290.9764709472656,289.4200134277344
2008-07-01,288.9677734375,286.8772888183594,271.7666320800781,290.3083801269531,288.7339782714844
2008-08-01,289.68365478515625,286.39447021484375,271.7323913574219,289.9139404296875,288.37286376953125
2008-09-01,289.3854675292969,286.2483825683594,271.74444580078125,289.80926513671875,288.5098571777344
2008-10-01,288.3105163574219,286.63372802734375,271.818603515625,290.12933349609375,288.8518371582031
2008-11-01,287.1569519042969,287.4202880859375,271.9831237792969,290.8208312988281,289.42730712890625
2008-12-01,286.1525573730469,288.6634826660156,272.34393310546875,291.9151306152344,290.3143310546875
2009-01-01,285.37420654296875,289.8978576660156,272.7989196777344,292.8400573730469,291.0790100097656
2009-02-01,284.8958740234375,290.541259765625,273.1546325683594,293.36236572265625,291.48114013671875
2009-03-01,284.8646545410156,290.6668395996094,272.8806457519531,293.33221435546875,291.4713439941406
2009-04-01,285.2076416015625,290.117919921875,272.40228271484375,292.7618408203125,291.08258056640625
2009-05-01,286.0203552246094,289.1242370605469,272.0552978515625,291.9607849121094,290.3710021972656
2009-06-01,287.4381103515625,288.0170593261719,271.84112548828125,291.1383361816406,289.607421875
2009-07-01,288.9009704589844,287.12493896484375,271.7432556152344,290.43121337890625,288.834716796875
2009-08-01,289.6086730957031,286.4805908203125,271.7167053222656,289.99798583984375,288.455322265625
2009-09-01,289.2019958496094,286.39813232421875,271.732421875,289.9080810546875,288.4360046386719
2009-10-01,288.29852294921875,286.8229675292969,271.7754821777344,290.24188232421875,288.8051452636719
2009-11-01,287.1696472167969,287.6048583984375,271.9503173828125,291.02569580078125,289.5079040527344
2009-12-01,286.21435546875,288.8908996582031,272.338623046875,292.1559143066406,290.38671875
2010-01-01,285.471923828125,290.0703430175781,272.9178466796875,293.1099853515625,291.1470642089844
2010-02-01,285.16131591796875,290.6977844238281,273.23046875,293.5350341796875,291.8283386230469
2010-03-01,285.18939208984375,290.6556396484375,273.06585693359375,293.4775085449219,291.8583679199219
2010-04-01,285.60833740234375,290.0072326660156,272.58734130859375,292.9193420410156,291.36395263671875
2010-05-01,286.3872985839844,288.99774169921875,272.1087646484375,291.9788818359375,290.50567626953125
2010-06-01,287.6383361816406,287.8916931152344,271.8424072265625,291.11151123046875,289.59381103515625
2010-07-01,289.12841796875,286.9412841796875,271.7501220703125,290.31243896484375,288.896240234375
2010-08-01,289.9810485839844,286.4015197753906,271.73004150390625,289.8379821777344,288.5255432128906
2010-09-01,289.5763244628906,286.2871398925781,271.75177001953125,289.7545166015625,288.5343017578125
2010-10-01,288.5254211425781,286.7950134277344,271.7968444824219,290.012451171875,288.9068603515625
2010-11-01,287.3398742675781,287.71429443359375,271.9685363769531,290.6640625,289.5769348144531
2010-12-01,286.26068115234375,288.9259948730469,272.3028564453125,291.69586181640625,290.4501037597656
2011-01-01,285.5650329589844,290.05328369140625,272.8118896484375,292.6666564941406,291.2121887207031
2011-02-01,285.0834045410156,290.9390563964844,273.0545654296875,293.18109130859375,291.6588439941406
2011-03-01,284.9898986816406,290.869140625,272.8653869628906,293.10894775390625,291.7441101074219
2011-04-01,285.3135070800781,290.1081848144531,272.5023498535156,292.5941467285156,291.2958984375
2011-05-01,286.16961669921875,289.04443359375,272.0466613769531,291.817626953125,290.5149230957031
2011-06-01,287.4115295410156,287.941650390625,271.81243896484375,291.008056640625,289.67022705078125
2011-07-01,288.7319030761719,287.0627746582031,271.7469177246094,290.3173522949219,288.93511962890625
2011-08-01,289.6101989746094,286.4328918457031,271.7060852050781,289.7903137207031,288.5743408203125
2011-09-01,289.3975830078125,286.3033752441406,271.7361145019531,289.7205810546875,288.5788269042969
2011-10-01,288.3723449707031,286.5995178222656,271.78668212890625,290.0466613769531,288.90594482421875
2011-11-01,287.1800231933594,287.3121643066406,271.94561767578125,290.65679931640625,289.7655334472656
2011-12-01,286.1617736816406,288.4527893066406,272.3016052246094,291.6318664550781,290.6106872558594
2012-01-01,285.4146423339844,289.6122131347656,272.7566223144531,292.6296691894531,291.340576171875
2012-02-01,285.0208435058594,290.44549560546875,273.0329895019531,293.37567138671875,291.7764587402344
2012-03-01,285.0064392089844,290.47119140625,272.83941650390625,293.273681640625,291.65765380859375
2012-04-01,285.31756591796875,289.7539978027344,272.3985595703125,292.7339172363281,291.2532958984375
2012-05-01,286.12646484375,288.75067138671875,272.0191345214844,291.9588317871094,290.4566345214844
2012-06-01,287.5765075683594,287.7348937988281,271.82586669921875,291.1602478027344,289.5421142578125
2012-07-01,289.0174255371094,286.91448974609375,271.7234802246094,290.4489440917969,288.90264892578125
2012-08-01,289.912841796875,286.3082580566406,271.71490478515625,290.0455017089844,288.5758972167969
2012-09-01,289.5530700683594,286.3239440917969,271.7442321777344,289.94232177734375,288.5489807128906
2012-10-01,288.4962158203125,286.6855163574219,271.8007507324219,290.2740478515625,288.9261474609375
2012-11-01,287.32330322265625,287.4285888671875,271.9285888671875,290.9859619140625,289.5291748046875
2012-12-01,286.23577880859375,288.5182189941406,272.3275451660156,291.89837646484375,290.4826965332031
2013-01-01,285.51300048828125,289.6152648925781,272.86895751953125,292.93817138671875,291.2472229003906
2013-02-01,285.09991455078125,290.3591003417969,273.18658447265625,293.5230712890625,291.7488708496094
2013-03-01,285.10443115234375,290.3519287109375,272.9739990234375,293.4896240234375,291.6807556152344
2013-04-01,285.3855895996094,289.7826232910156,272.49267578125,293.01513671875,291.26129150390625
2013-05-01,286.1325378417969,288.9194030761719,272.0797424316406,292.06610107421875,290.4573059082031
2013-06-01,287.4052429199219,287.8592834472656,271.8294372558594,291.10980224609375,289.59735107421875
2013-07-01,288.9243469238281,287.015869140625,271.7198791503906,290.33624267578125,288.8589782714844
2013-08-01,289.70538330078125,286.4256286621094,271.70526123046875,289.9236755371094,288.51031494140625
2013-09-01,289.4924621582031,286.2138366699219,271.7170715332031,289.9077453613281,288.5096130371094
2013-10-01,288.6529846191406,286.5948486328125,271.7747802734375,290.2732849121094,288.8725891113281
2013-11-01,287.28564453125,287.45355224609375,271.9073181152344,291.00360107421875,289.73687744140625
2013-12-01,286.10003662109375,288.5744323730469,272.1955261230469,291.95721435546875,290.4624938964844
2014-01-01,285.3660583496094,289.7799072265625,272.776123046875,292.9999694824219,291.23834228515625
2014-02-01,285.0002136230469,290.6300354003906,273.0956115722656,293.4292297363281,291.6683654785156
2014-03-01,284.9231872558594,290.55517578125,272.8997497558594,293.3223571777344,291.8376770019531
2014-04-01,285.24407958984375,289.9961853027344,272.42352294921875,292.7685546875,291.4600830078125
