ocean,slope_K_per_month,intercept_K,r2,rmse_K,paper_slope_K_per_month,paper_intercept_K,slope_abs_diff,intercept_abs_diff_K,slope_pct_error
NA,0.0015198300466957044,286.84433709573244,0.0036576403671898516,1.650968812791996,0.0017,291.9,-0.00018016995330429552,-5.055662904267535,-10.598232547311502
SA,6.858967638285766e-07,288.3089550593744,8.612861535084448e-10,1.5382425180634605,-0.00015,290.3,0.00015068589676382857,-1.9910449406256134,100.45726450921904
SO,-0.00018702812094752215,272.2622122905231,0.0005736650908843011,0.5137988648653115,-0.00056,272.29,0.00037297187905247777,-0.027787709476911004,66.60212125937103
PO,0.0003214379475028593,291.56329455003424,0.00026404289442227835,1.3017950231249091,0.00155,292.88,-0.0012285620524971406,-1.3167054499657525,-79.26206790304134
IO,0.0005478689581408979,289.9148391446583,0.0009311950100514554,1.1811202634647462,0.00026,291.57,0.0002878689581408979,-1.6551608553417054,110.7188300541915
