month,NA,SA,SO,PO,IO
2002-01-01,286.40283203125,285.2032470703125,274.9207458496094,289.9034118652344,290.1898498535156
2002-02-01,285.9349060058594,285.72998046875,275.25885009765625,289.95306396484375,290.3238220214844
2002-03-01,285.8507080078125,285.6343688964844,275.1103820800781,289.96881103515625,290.56109619140625
2002-04-01,286.10931396484375,284.97174072265625,274.631103515625,290.0223693847656,290.6359558105469
2002-05-01,286.7781066894531,284.1493835449219,274.0670166015625,290.12298583984375,290.31439208984375
2002-06-01,287.9399719238281,283.3232116699219,273.7364501953125,290.3612060546875,289.95977783203125
2002-07-01,289.2441711425781,282.68621826171875,273.5086364746094,290.6983642578125,289.78955078125
2002-08-01,290.1841735839844,282.375732421875,273.4287109375,290.9806213378906,289.6546325683594
2002-09-01,289.96026611328125,282.2760314941406,273.41748046875,290.8987121582031,289.59051513671875
2002-10-01,289.1133117675781,282.6220397949219,273.5386962890625,290.4947204589844,289.49810791015625
2002-11-01,287.97991943359375,283.1240234375,273.8395690917969,290.1336364746094,289.54901123046875
2002-12-01,287.0080871582031,284.04046630859375,274.3565368652344,289.9471130371094,289.86944580078125
2003-01-01,286.3120422363281,284.9774475097656,275.0135803222656,289.8753662109375,290.0616149902344
2003-02-01,285.8905334472656,285.7208251953125,275.47674560546875,289.93695068359375,290.3345642089844
2003-03-01,285.9224548339844,285.7001647949219,275.2525939941406,289.9661560058594,290.4990234375
2003-04-01,286.1926574707031,284.9755554199219,274.6866455078125,289.95611572265625,290.5528259277344
2003-05-01,286.9338684082031,284.1697082519531,274.161376953125,290.0125427246094,290.32867431640625
2003-06-01,288.1273193359375,283.3624267578125,273.7735900878906,290.2626953125,290.0127868652344
2003-07-01,289.5966796875,282.7702331542969,273.4979248046875,290.724365234375,289.71771240234375
2003-08-01,290.525146484375,282.447021484375,273.37835693359375,291.05078125,289.50396728515625
2003-09-01,290.31915283203125,282.38885498046875,273.38641357421875,291.0137023925781,289.38922119140625
2003-10-01,289.4115295410156,282.7674865722656,273.4437561035156,290.5515441894531,289.4249572753906
2003-11-01,288.1727600097656,283.28436279296875,273.7351379394531,290.14892578125,289.5892028808594
2003-12-01,287.1946105957031,284.14080810546875,274.3294372558594,289.94927978515625,289.7837219238281
2004-01-01,286.44769287109375,284.98675537109375,274.9365539550781,289.9374694824219,290.12677001953125
2004-02-01,286.03955078125,285.60528564453125,275.3526916503906,290.0175476074219,290.33917236328125
2004-03-01,285.9665832519531,285.6098937988281,275.1914367675781,289.9651794433594,290.46319580078125
2004-04-01,286.25750732421875,285.0599060058594,274.6391296386719,289.96026611328125,290.5853576660156
2004-05-01,286.9066467285156,284.1839599609375,274.098388671875,290.07830810546875,290.2659912109375
2004-06-01,288.1700134277344,283.31988525390625,273.7036437988281,290.2887268066406,289.8329772949219
2004-07-01,289.52960205078125,282.7752380371094,273.4740905761719,290.7635192871094,289.6829833984375
2004-08-01,290.3966064453125,282.475830078125,273.3687744140625,291.05499267578125,289.6180419921875
2004-09-01,290.0831298828125,282.39752197265625,273.3565673828125,290.9247131347656,289.5511169433594
2004-10-01,289.1932373046875,282.65106201171875,273.44525146484375,290.48052978515625,289.5238037109375
2004-11-01,288.0987854003906,283.275390625,273.75909423828125,290.15264892578125,289.5819396972656
2004-12-01,287.13690185546875,284.1131896972656,274.3268737792969,289.98980712890625,289.8589172363281
2005-01-01,286.36614990234375,285.2145690917969,275.0495300292969,289.9571533203125,290.0622863769531
2005-02-01,285.9619445800781,285.74298095703125,275.414794921875,289.9753723144531,290.3923034667969
2005-03-01,286.0346984863281,285.74285888671875,275.15118408203125,289.9591064453125,290.547119140625
2005-04-01,286.4262390136719,285.166748046875,274.57568359375,289.9695739746094,290.4714050292969
2005-05-01,287.0924377441406,284.2523193359375,274.0572814941406,290.09521484375,290.3280334472656
2005-06-01,288.30877685546875,283.4217529296875,273.75,290.3434143066406,289.9318542480469
2005-07-01,289.7444763183594,282.73663330078125,273.4891357421875,290.8114318847656,289.80181884765625
2005-08-01,290.5242004394531,282.3639221191406,273.3555908203125,291.1488342285156,289.7213439941406
2005-09-01,290.24169921875,282.3235168457031,273.3288879394531,290.99407958984375,289.5819396972656
2005-10-01,289.21099853515625,282.6409912109375,273.4598693847656,290.57147216796875,289.4493408203125
