date,C_NA,C_SA,C_SO,C_PO,C_IO
1987-07-01,14.130411183859593,15.789636943404187,14.00294294138273,18.339994333508912,16.710115875596063
1987-08-01,14.131260478363307,15.788888959791514,14.00901657641932,18.33998262844724,16.71035533439475
1987-09-01,14.132081657265461,15.788168560889979,14.014881778642387,18.339971309387025,16.710587042867385
1987-10-01,14.13292946791463,15.78742771109605,14.020929590650532,18.339959621768624,16.710826448131495
1987-11-01,14.13377653989278,15.786690414618654,14.026964533681621,18.339947942981652,16.711065826535993
1987-12-01,14.134595574215572,15.785980331970592,14.03279237475054,18.339936649508957,16.71129745699473
1988-01-01,14.135441175357487,15.785250115171456,14.038801665565144,18.33992498853337,16.71153678136172
1988-02-01,14.136258805760663,15.784546792439816,14.044605005024593,18.339913712186352,16.711768360135345
1988-03-01,14.13707572956095,15.783846873904551,14.050395998282738,18.339902444589296,16.711999913084178
1988-04-01,14.137919171805773,15.783127057442455,14.05636757143948,18.33989081028162,16.712239158392748
1988-05-01,14.13873470304616,15.782433849119606,14.062134221599788,18.339879559862666,16.712470660354263
1988-06-01,14.139549547938799,15.781743947654567,14.06788887407578,18.339868317771867,16.712702137181388
1988-07-01,14.140390831237294,15.781034533969608,14.07382270308733,18.339856709731695,16.712941303369732
1988-08-01,14.141231393451628,15.78032859613274,14.079743915226706,18.339845110506914,16.713180442858775
1988-09-01,14.142044144746386,15.779648785945774,14.085461937538906,18.339833894041504,16.713411842240568
1988-10-01,14.142856217165534,15.77897225006654,14.091168067643821,18.33982268598511,16.713643216330354
1988-11-01,14.1436676127936,15.778298980278615,14.0968623310703,18.33981148636018,16.713874565153077
1988-12-01,14.14450534222615,15.777606709381589,14.102733896067557,18.339799922341413,16.714113598906664
1989-01-01,14.145342360984886,15.776917871205901,14.108592982461353,18.33978836720207,16.71435260578316
1989-02-01,14.146124729835206,15.776276608083155,14.114062668480349,18.3397775656895,16.714576168212915
1989-03-01,14.146933407681418,15.775616466267195,14.1197092011851,18.339766400208536,16.714807414433974
1989-04-01,14.147768351909361,15.774937653008852,14.125531821868808,18.339754871392174,16.715046342878342
1989-05-01,14.148575681983914,15.774284026686722,14.131154642912147,18.339743723152328,16.71527753832874
1989-06-01,14.149382347856873,15.773633611146145,14.136765777514933,18.33973258329181,16.715508708725196
1989-07-01,14.15021520296918,15.772964898228745,14.142551632959387,18.33972108094301,16.715747558307612
1989-08-01,14.151047360429327,15.772299560049285,14.14832519855588,18.339709587437714,16.715986381386166
1989-09-01,14.15185200067754,15.77165894228598,14.15390065281542,18.33969847327997,16.71621747481457
1989-10-01,14.15268276837722,15.771000328581405,14.159649720308094,18.339686997554917,16.7164562447464
1989-11-01,14.153512844235621,15.770345064502706,14.165386580150658,18.339675530699967,16.716694987968097
1989-12-01,14.154315475813501,15.76971417141556,14.170926592259498,18.33966444237454,16.716926003848627
1990-01-01,14.15514417387148,15.769065581300943,14.176639118060644,18.339652993366848,16.717164693433613
1990-02-01,14.155945490316778,15.768441060897583,14.182155888339915,18.339641922097034,16.717395657972705
1990-03-01,14.156719470179159,15.767840392944082,14.187477692278552,18.33963122800727,16.717618899227517
1990-04-01,14.157519507385887,15.76722207488998,14.192971829096807,18.33962017340086,16.717849813844886
1990-05-01,14.158318900059653,15.7666068817713,14.198454558189699,18.339609127240962,16.71808070337638
1990-06-01,14.159117649779686,15.765994806339876,14.203925904564255,18.339598089417695,16.718311567922704
1990-07-01,14.159942347251006,15.765365613510024,14.209567632286863,18.33958669241506,16.718550101608496
1990-08-01,14.160766369422474,15.764739697604343,14.215197389614133,18.339575304162285,16.71878860893695
1990-09-01,14.16156315852742,15.76413713585988,14.220633983169,18.339564291763192,16.719019396928466
1990-10-01,14.162385835745924,15.7635177490172,14.22623987904125,18.339552921188744,16.71925785129749
1990-11-01,14.163207843483328,15.762901614215775,14.23183388401722,18.339541559527735,16.71949627903311
1990-12-01,14.164002688808347,15.762308494063994,14.237235955587359,18.339530572969107,16.719726989744974
1991-01-01,14.164823363247288,15.761698839022895,14.242806258625519,18.339519229101523,16.719965364053785
1991-02-01,14.165616935845184,15.761111906067542,14.248185691929036,18.339508259606053,16.720196023573028
1991-03-01,14.166383450233827,15.760547484196419,14.253375023786035,18.339497663933262,16.720418970153595
1991-04-01,14.16717578498482,15.759966572761908,14.25873241037014,18.339486711199452,16.720649580020794
1991-05-01,14.167993872164974,15.75936950208762,14.264256640002001,18.339475402332912,16.7208878503876
1991-06-01,14.168811302171772,15.758775628453067,14.269769159544548,18.339464102283653,16.721126094341194
1991-07-01,14.169601729090827,15.758203998526826,14.275092548658408,18.33945317522113,16.721356627493567
1991-08-01,14.170417850001105,15.757616495513586,14.280581726198132,18.33944189267265,16.72159481871082
1991-09-01,14.17123331938122,15.757032165714453,14.286059272240774,18.339430618836992,16.721832983458516
1991-10-01,14.172021854562974,15.75646974837926,14.291348891845647,18.33941971715164,16.72206343976468
1991-11-01,14.17280977643212,15.7559103198837,14.296627547786906,18.339408823864986,16.722293870910168
1991-12-01,14.173623316514963,15.755335392742479,14.302070603313425,18.339397576393644,16.722531956500145
1992-01-01,14.174436212579687,15.75476360673908,14.307502128788519,18.339386337836753,16.7227700154998
1992-02-01,14.175222264625853,15.754213297675394,14.312747309896967,18.339375470488488,16.723000369465236
1992-03-01,14.1760077103306,15.753665947447773,14.317981622604206,18.339364611673822,16.7232306983549
1992-04-01,14.176792551221274,15.75312154898886,14.323205090222828,18.339353761372745,16.72346100226586
1992-05-01,14.17757678861558,15.752580095446632,14.328417736312085,18.339342919559805,16.723691281216148
1992-06-01,14.178360423956567,15.752041580006454,14.333619584941367,18.339332086123978,16.723921535213815
1992-07-01,14.179169546292233,15.751488209962638,14.338983448863331,18.339320900345278,16.724159437963376
1992-08-01,14.179978036369592,15.750937927969382,14.344335958187832,18.339309723331912,16.72439731433843
1992-09-01,14.180759836030214,15.750408377967265,14.349504841913493,18.339298915337146,16.724627491758753
1992-10-01,14.181567067109075,15.749864248640476,14.354834717515239,18.33928775589767,16.72486531532608
1992-11-01,14.182373671462047,15.749323183792185,14.36015331367148,18.339276605350246,16.725103112388187
1992-12-01,14.183153651599993,15.748802530683752,14.365289450501827,18.3392658231587,16.725333212886934
1993-01-01,14.18393304183474,15.748284763984186,14.370414955883975,18.33925504948564,16.725563288182087
1993-02-01,14.184685896177758,15.747786977944305,14.375359583392886,18.33924464298554,16.72578567058187
1993-03-01,14.18546412417038,15.747274899422719,14.380464128219344,18.339233886159313,16.726015696459424
1993-04-01,14.1862676883744,15.746748712550614,14.385727907845721,18.339222779621444,16.726253364196825
1993-05-01,14.187044734295606,15.746242421659542,14.39081111236412,18.339212040097287,16.7264833398218
1993-06-01,14.187821197708013,15.745738982824241,14.395883799599007,18.339201308978527,16.726713290551253
1993-07-01,14.188622929715812,15.745221767884933,14.40111449213748,18.339190228942194,16.726950879992533
1993-08-01,14.189424050021406,15.744707550528199,14.406334124573712,18.339179157695913,16.727188443181248
