date,S_NA,S_SA,S_SO,S_PO,S_IO
1987-07-01,34.91203460330625,35.43476704459112,34.42707697355671,34.66793606754621,34.538145915215125
1987-08-01,34.91208318629307,35.43433239644867,34.42723692937232,34.66781501036393,34.5384351118062
1987-09-01,34.91211980898304,35.43394813223197,34.42738793611104,34.66769777259067,34.53869606264432
1987-10-01,34.91218458044711,35.433475729928546,34.42755265720798,34.66764100177645,34.53882905196711
1987-11-01,34.91241018022711,35.43299973186895,34.42773317145292,34.66764448800267,34.539023359779385
1987-12-01,34.91258129130045,35.432415386445555,34.4279491706136,34.66766518886641,34.53904541782447
1988-01-01,34.91299970271513,35.43192786940465,34.42809140237857,34.66774745248851,34.538989945820326
1988-02-01,34.91342231639087,35.4314678846386,34.42815575689404,34.66775547668856,34.53913324319909
1988-03-01,34.91393917903505,35.430910654156875,34.42806418983241,34.6677914213705,34.53914762713307
1988-04-01,34.91433181649574,35.43045186988304,34.4281141086261,34.6678136095541,34.53936424940452
1988-05-01,34.914532868045086,35.4301200131936,34.42824266970759,34.667800255277164,34.539676866290435
1988-06-01,34.914647614880074,35.42990202152744,34.428392487152756,34.667815970122795,34.540097463897304
1988-07-01,34.91488600870228,35.429725469815054,34.428580603383864,34.66788416993211,34.54047043717767
1988-08-01,34.91496599027814,35.42946408593789,34.428764069484146,34.66796151878474,34.54066867341103
1988-09-01,34.91494028293121,35.42912478221082,34.42895429178897,34.668053785456614,34.54087886065581
1988-10-01,34.915077884227316,35.42873165919968,34.42916118705869,34.6681156093502,34.54118771611111
1988-11-01,34.9153583443264,35.428299659927895,34.429378095772876,34.66822634637288,34.54148004340286
1988-12-01,34.91578684306953,35.42783048886248,34.42961649908678,34.668302407276755,34.541761048515085
1989-01-01,34.916277845140726,35.42743813277614,34.42985031399308,34.66838046405128,34.54178610790794
1989-02-01,34.91667756118692,35.427078731160265,34.429990873052326,34.66844302680043,34.541896074271875
1989-03-01,34.9170988827707,35.42664115325028,34.43007614735433,34.6685434382165,34.54210662630126
1989-04-01,34.91755035688201,35.42614294274018,34.430131478710486,34.668602266540354,34.54237167616231
1989-05-01,34.917829591454854,35.42582231838872,34.43020829706509,34.668620513001194,34.542702365424084
1989-06-01,34.91808500337511,35.425600905962455,34.43033126972548,34.66864462886796,34.54305791068041
1989-07-01,34.91842724763535,35.425314835643675,34.43048612376017,34.66868698766136,34.54343077170081
1989-08-01,34.918716807140285,35.42505398540554,34.43069459973683,34.6687648477724,34.54384958955447
1989-09-01,34.91881719267137,35.424695283681125,34.43089188049723,34.668858221821694,34.544191156315016
1989-10-01,34.91896532824374,35.42425363348718,34.431096255084334,34.66889503812984,34.544458016958664
1989-11-01,34.919149708567716,35.423760593724765,34.43134471064365,34.66893415010373,34.54465975181201
1989-12-01,34.919353535010465,35.42329402506787,34.431580074422456,34.66904293304215,34.544778324660804
