date,F_NA,F_SA,F_SO,F_PO,F_IO
1987-07-01,0.05628577427990293,0.3314140263246929,-0.08006681968562572,-1.2096768880682802,1.0186615156135723
1987-08-01,-0.08242801637581543,0.3783582970066009,-0.06854945627843022,-0.880569428366203,0.7288955579009148
1987-09-01,-0.06260664519947688,0.4878466245962825,-0.07684576062123379,-0.9725393078373215,0.7928105532958244
1987-10-01,-0.12334020306788432,0.2495379295486767,-0.06141387732203583,-0.4347787905824105,0.1501006053936031
1987-11-01,0.3180860423458414,0.38215428027717807,-0.06521145542930237,0.12374870296982891,0.6324223744845092
1987-12-01,0.0,0.0,0.0,0.0,0.0
1988-01-01,0.6316579806101144,0.3353417088007489,-0.10136440383019046,0.8873112385170844,-0.39297496720028197
1988-02-01,0.46115565483745385,0.32631870295340654,-0.118623419392528,-0.16249751026370574,0.6069880408898934
1988-03-01,0.7713249069624972,0.07210326685630654,-0.30938241568931935,0.3848605174222287,-0.25928254843872733
1988-04-01,0.43938883624013336,0.3624644698145717,-0.13026471095205566,0.15406370527390473,0.7154558197036609
1988-05-01,0.20346845721305873,0.515033467928723,-0.09219546953890563,-0.1458409891568281,0.7759714245070687
1988-06-01,-0.02695366560270275,0.7424484289343375,-0.07669407204929012,0.08037206257398098,1.2440580804479384
1988-07-01,0.31562284854651024,0.8437427536543751,-0.04405143441679019,0.6157783197285674,1.0346301057463132
1988-08-01,-0.01841061946806591,0.6617982953590686,-0.05775046299138145,0.4339231531135251,0.4548363308941239
1988-09-01,-0.2464083175491163,0.5162894311984572,-0.041922116029702736,0.9341654361754967,0.49848578460941867
1988-10-01,0.10492964834630629,0.4124132041719014,-0.030540422543986905,0.2726119183707317,0.9393129586509057
1988-11-01,0.3067194455172703,0.3603810607198388,-0.021800699994705363,1.0957562380525983,0.6891728051963566
1988-12-01,0.5384738508874443,0.27539538078379733,-0.014065037866268644,0.4128114981397933,0.9404579285910167
1989-01-01,0.6572739961476463,0.47251561361295474,-0.0033759090861472554,0.72416004685922,-0.23516180465005782
1989-02-01,0.5076630039575454,0.4535268963150181,-0.08703744056814385,0.3841359011229535,0.37525424573456917
1989-03-01,0.5206600136897204,0.3589783498688932,-0.12476252835151973,0.9155529913173309,0.5524706313321675
1989-04-01,0.6218299849632186,0.2029309519271535,-0.1571031251334506,0.4005676680728514,0.680408129004693
