date,F_NA,F_SA,F_SO,F_PO,F_IO,SST_NA,SST_SA,SST_SO,SST_PO,SST_IO,pCO2_air,month_sin,month_cos,year_norm,DISEQ_NA,DISEQ_SA,DISEQ_SO,DISEQ_PO,DISEQ_IO
1987-07-01,0.0562857742799029,0.3314140263246929,-0.0800668196856257,-1.2096768880682802,1.0186615156135723,291.64407838204266,290.3225813192315,272.37430359179774,292.64665970127425,291.53085904666534,340.0835928872889,-0.4999999999999997,-0.8660254037844388,0.0,-0.002337318182623685,-0.0035656836827591062,0.00873132668768947,-0.006865473132056066,-0.004857695738138592
1987-08-01,-0.0824280163758154,0.3783582970066009,-0.0685494562784302,-0.880569428366203,0.7288955579009148,291.64581098478243,290.3224284425192,272.37373285207167,292.64823942730163,291.5311240329667,340.2685940927681,-0.8660254037844384,-0.5000000000000004,0.003097521982410452,-0.002331489689473002,-0.0035589791170183675,0.008744207612630549,-0.006859742782291341,-0.0048513385923849624
1987-09-01,-0.0626066451994768,0.4878466245962825,-0.0768457606212337,-0.9725393078373216,0.7928105532958244,291.64754358752214,290.3222755658069,272.37316211234565,292.649819153329,291.5313890192681,340.4535952982478,-1.0,-1.8369701987210297e-16,0.0061950439648291965,-0.002326511081884527,-0.00355152650758735,0.00875101547747952,-0.0068540012467604595,-0.004845221002644248
1987-10-01,-0.1233402030678843,0.2495379295486767,-0.0614138773220358,-0.4347787905824105,0.1501006053936031,291.6492202998509,290.3221276206014,272.3726097835785,292.6513479204523,291.5316454576243,340.6326287229052,-0.8660254037844386,0.5000000000000001,0.009192645883292262,-0.0023216929182345233,-0.003544317703917199,0.008757616790337205,-0.006848445424856747,-0.004839300821218775
1987-11-01,0.3180860423458414,0.382154280277178,-0.0652114554293023,0.1237487029698289,0.6324223744845092,291.65095290259063,290.3219747438891,272.3720390438525,292.6529276464797,291.5319104439256,340.81762992838446,-0.5000000000000004,0.8660254037844384,0.012290167865702714,-0.002316713989631186,-0.0035368721100858813,0.008764451609636554,-0.006842704928441719,-0.0048331833692310845
1987-12-01,0.0,0.0,0.0,0.0,0.0,291.65262961491936,290.3218267986836,272.3714867150854,292.654456413603,291.5321668822818,340.9966633530424,-2.4492935982947064e-16,1.0,0.01528776978417407,-0.0023119228442507293,-0.003529646294433135,0.008770884276661768,-0.006837149735419304,-0.004827271042851021
1988-01-01,0.6316579806101144,0.3353417088007489,-0.1013644038301904,0.8873112385170844,-0.3929749672002819,291.6543622176591,290.32167392197124,272.37091597535937,292.6560361396304,291.53243186858316,341.1816645585216,0.49999999999999994,0.8660254037844387,0.018385291766584523,-0.0023069163018814287,-0.0035222313495260078,0.008777940198427434,-0.006831410654601031,-0.0048211460073385205
1988-02-01,0.4611556548374538,0.3263187029534065,-0.118623419392528,-0.1624975102637057,0.6069880408898934,291.6560900865116,290.3215214629549,272.3703467950315,292.6576115494664,291.53269613087826,341.3661602962263,0.8660254037844386,0.5000000000000001,0.021474350574179894,-0.0023019528314910456,-0.0035148145299289685,0.008784780041633822,-0.006825687372860052,-0.004815046130481579
1988-03-01,0.7713249069624972,0.0721032668563065,-0.3093824156893193,0.3848605174222287,-0.2592825484387273,291.6577064799542,290.32137884000406,272.3698143360151,292.65908531995825,291.532943343993,341.538753083112,1.0,6.123233995736766e-17,0.024364115265166644,-0.002297336700955714,-0.003507855944032943,0.008790997377612363,-0.00682033343466187,-0.0048093475762743115
1988-04-01,0.4393888362401333,0.3624644698145717,-0.1302647109520556,0.1540637052739047,0.7154558197036609,291.65943434880666,290.32122638098764,272.3692451556872,292.6606607297943,291.5332076062881,341.7232488208167,0.8660254037844387,-0.4999999999999998,0.027453174072762015,-0.002292345690076159,-0.003500469307047121,0.008798056625433238,-0.0068146115451980065,-0.004803240115107134
